ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
AL,Air Lease Corporation,stocks,us,XNYS,CS,True,usd,0001487712,BBG000R3NPZ4,BBG001T92VD1,2022-05-09T00:00:00Z
ALB,Albemarle Corporation,stocks,us,XNYS,CS,True,usd,0000915913,BBG000BJ26K7,BBG001S7SBP9,2022-05-09T00:00:00Z
ALBO,"Albireo Pharma, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001322505,BBG000QFLCK5,BBG001SS3WV7,2022-05-09T00:00:00Z
ALC,Alcon Inc. Ordinary Shares,stocks,us,XNYS,CS,True,usd,0001167379,,,2022-05-09T00:00:00Z
ALCC,AltC Acquisition Corp.,stocks,us,XNYS,CS,True,usd,0001849056,BBG0112CBLW3,BBG0112CBMQ8,2022-05-09T00:00:00Z
ALCO,Alico Inc,stocks,us,XNAS,CS,True,usd,0000003545,BBG000BBJR57,BBG001S5NKW0,2022-05-09T00:00:00Z
ALDX,"Aldeyra Therapeutics, Inc.",stocks,us,XNAS,CS,True,usd,0001341235,BBG0029H8ZF6,BBG0029H8ZG5,2022-05-09T00:00:00Z
ALE,"ALLETE, Inc.",stocks,us,XNYS,CS,True,usd,0000066756,BBG000CYW7N5,BBG001S77110,2022-05-09T00:00:00Z
ALEC,"Alector, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001653087,BBG00N0PL198,BBG00N0PL214,2022-05-09T00:00:00Z
ALEX,"Alexander & Baldwin, Inc.",stocks,us,XNYS,CS,True,usd,0001545654,BBG00HS2GVL8,BBG00HS2GVM7,2022-05-09T00:00:00Z
ALF,"ALFI, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001833908,BBG00YTRV189,BBG00Z70HCF3,2022-05-09T00:00:00Z
ALFA,AlphaClone Alternative Alpha ETF,stocks,us,BATS,ETF,True,usd,0000810972,BBG0032L2XD5,BBG0032L2Y52,2022-05-09T00:00:00Z
ALFIW,"ALFI, Inc. Warrant",stocks,us,XNAS,WARRANT,True,usd,,BBG0109ZKC57,,2022-05-09T00:00:00Z
ALG,"Alamo Group, Inc.",stocks,us,XNYS,CS,True,usd,0000897077,BBG000BJTZX0,BBG001S7YVC2,2022-05-09T00:00:00Z
ALGM,"Allegro MicroSystems, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000866291,BBG00H5S8391,BBG00H5S83B8,2022-05-09T00:00:00Z
ALGN,Align Technology Inc,stocks,us,XNAS,CS,True,usd,0001097149,BBG000BRNLL2,BBG001SCF1B9,2022-05-09T00:00:00Z
ALGS,"Aligos Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001799448,BBG00QX7QH68,BBG00QX7QH77,2022-05-09T00:00:00Z
ALGT,Allegiant Travel Company,stocks,us,XNAS,CS,True,usd,0001362468,BBG000LJS6B8,BBG001SQ25S5,2022-05-09T00:00:00Z
ALHC,"Alignment Healthcare, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001832466,BBG00ZJ0DSR6,BBG00ZJ0DSS5,2022-05-09T00:00:00Z
ALIM,"Alimera Sciences, Inc.",stocks,us,XNAS,CS,True,usd,0001267602,BBG000QLS2G2,BBG001SSBTK7,2022-05-09T00:00:00Z
ALINpA,"Altera Infrastructure L.P. 7.25% Series A Cumulative Redeemable Preferred Units, representing limite",stocks,us,XNYS,PFD,True,usd,0001382298,,,2022-05-09T00:00:00Z
ALINpB,"Altera Infrastructure L.P. 8.50% Series B Cumulative Redeemable Preferred Units, representing limite",stocks,us,XNYS,PFD,True,usd,0001382298,,,2022-05-09T00:00:00Z
ALINpE,Altera Infrastructure L.P. 8.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Perpetual Pr,stocks,us,XNYS,PFD,True,usd,0001382298,,,2022-05-09T00:00:00Z
ALIT,"Alight, Inc.",stocks,us,XNYS,CS,True,usd,0001809104,BBG00H00J2N1,BBG00H00J2Q8,2022-05-09T00:00:00Z
ALJJ,"ALJ Regional Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001438731,BBG000LCQSJ9,BBG001SC7Q14,2022-05-09T00:00:00Z
ALK,"Alaska Air Group, Inc.",stocks,us,XNYS,CS,True,usd,0000766421,BBG000BBL0Y1,BBG001S5NLG6,2022-05-09T00:00:00Z
ALKS,Alkermes Inc. plc,stocks,us,XNAS,CS,True,usd,0001520262,,,2022-05-09T00:00:00Z
ALKT,"Alkami Technology, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001529274,BBG005HTCT54,BBG005HTCT63,2022-05-09T00:00:00Z
ALL,The Allstate Corporation,stocks,us,XNYS,CS,True,usd,0000899051,BBG000BVMGF2,BBG001S9BM06,2022-05-09T00:00:00Z
ALLE,Allegion Public Limited Company,stocks,us,XNYS,CS,True,usd,0001579241,,,2022-05-09T00:00:00Z
ALLG,Allego N.V.,stocks,us,XNYS,CS,True,usd,0001874474,,,2022-05-09T00:00:00Z
ALLG.WS,"Allego N.V. Warrants, each exercisable for one Ordinary Share at an exercise price of $11.50 per sha",stocks,us,XNYS,WARRANT,True,usd,0001874474,,,2022-05-09T00:00:00Z
ALLK,Allakos Inc.,stocks,us,XNAS,CS,True,usd,0001564824,BBG003QBJKN0,BBG003QBJKP8,2022-05-09T00:00:00Z
ALLO,"Allogene Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001737287,BBG00KHRRDX3,BBG00KHRRDY2,2022-05-09T00:00:00Z
ALLR,"Allarity Therapeutics, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001860657,BBG012NXCZP8,BBG012NXCZQ7,2022-05-09T00:00:00Z
ALLT,Allot Ltd. Ordinary Shares,stocks,us,XNAS,CS,True,usd,0001365767,,,2022-05-09T00:00:00Z
ALLY,Ally Financial Inc.,stocks,us,XNYS,CS,True,usd,0000040729,BBG000BC2R71,BBG001S5RLN4,2022-05-09T00:00:00Z
ALLpB,The Allstate Corporation 5.100%  Fixed-To-Floating Rate Subordinated Debentures due 2053,stocks,us,XNYS,PFD,True,usd,0000899051,,,2022-05-09T00:00:00Z
ALLpG,"The Allstate Corporation Depositary Shares each representing a 1/1,000th interest in a share of Fixe",stocks,us,XNYS,PFD,True,usd,0000899051,,,2022-05-09T00:00:00Z
ALLpH,The Allstate Corporation,stocks,us,XNYS,PFD,True,usd,0000899051,,,2022-05-09T00:00:00Z
ALLpI,The Allstate Corporation,stocks,us,XNYS,PFD,True,usd,0000899051,,,2022-05-09T00:00:00Z
ALNA,"Allena Pharmaceuticals, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001624658,BBG002868YT9,BBG002868YV6,2022-05-09T00:00:00Z
ALNY,"Alnylam Pharmaceuticals, Inc.",stocks,us,XNAS,CS,True,usd,0001178670,BBG000BFGNJ5,BBG001S7FTC8,2022-05-09T00:00:00Z
ALOR,ALSP Orchid Acquisition Corporation I Class A Ordinary Share,stocks,us,XNAS,CS,True,usd,0001883962,,,2022-05-09T00:00:00Z
ALORU,ALSP Orchid Acquisition Corporation I Unit,stocks,us,XNAS,UNIT,True,usd,0001883962,,,2022-05-09T00:00:00Z
ALORW,ALSP Orchid Acquisition Corporation I Warrant,stocks,us,XNAS,WARRANT,True,usd,0001883962,,,2022-05-09T00:00:00Z
ALOT,"AstroNova, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0000008146,BBG000BBMCY4,BBG001S5NLS3,2022-05-09T00:00:00Z
ALPA,Alpha Healthcare Acquisition Corp. III Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001842939,BBG00ZL676N9,BBG00ZL676P7,2022-05-09T00:00:00Z
ALPAU,Alpha Healthcare Acquisition Corp. III Units,stocks,us,XNAS,UNIT,True,usd,0001842939,BBG00ZK0HGQ7,BBG00ZK0HHK1,2022-05-09T00:00:00Z
ALPAW,Alpha Healthcare Acquisition Corp. III Warrant,stocks,us,XNAS,WARRANT,True,usd,0001842939,BBG00ZNQBGG4,,2022-05-09T00:00:00Z
ALPN,"Alpine Immune Sciences, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001626199,BBG001J2LL66,BBG001V0G8Y0,2022-05-09T00:00:00Z
ALPP,"Alpine 4 Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001606698,BBG00BBLTGT8,BBG00BBLTGV5,2022-05-09T00:00:00Z
ALPpQ,"Alabama Power Company 5.00% Class A Preferred Stock, Cumulative, Par Value $1 Per Share (Stated Capi",stocks,us,XNYS,PFD,True,usd,0000003153,,,2022-05-09T00:00:00Z
ALR,AlerisLife Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001159281,BBG000BJRQT7,BBG001SC4JB2,2022-05-09T00:00:00Z
